"Submission ID","Respondent ID","Submitted at","In che lingua preferisci svolgere questo sondaggio? - 
In which language would you prefer to take the survey?","Hai mai acquistato delle scarpe da calcio?","Qual è il tuo genere?","Che lavoro fai?","Da dove provieni?","Quanti anni hai?","Di solito, in che ruolo giochi?","Quante volte ti capita di giocare a calcio al mese?","Su quale tipologia di campo giochi più spesso?","Quanto hai pagato l'ultimo paio di scarpe da calcio che hai acquistato?","E al momento dell'acquisto, preferisci...","Peso della scarpa","Morbidezza del materiale","Aderenza al piede
","Durabilità","Popolarità del brand","Capacità di controllo e sensibilità con la palla","Vestibilità facilitata (ex. assenza di lacci)","Ampia scelta di colorazioni","Quanto sei d'accordo con la seguente affermazione: ""Preferisco spendere di più per avere una qualità migliore""","Hai mai sentito parlare del brand ""Akuna - Cinquestelle 1911""?","Artigianalità","Durabilità (2)","Popolarità","Performance","Qualità","Artigianalità (2)","Durabilità (3)","Popolarità (2)","Performance (2)","Qualità (2)","Artigianalità (3)","Durabilità (4)","Popolarità (3)","Performance (3)","Qualità (3)","Artigianalità (4)","Durabilità (5)","Popolarità (4)","Performance (4)","Qualità (4)","Artigianalità (5)","Durabilità (6)","Popolarità (5)","Performance (5)","Qualità (5)","A che prezzo il prodotto sembrerebbe di così scarsa qualità da non considerare più di acquistarlo?","A che prezzo il prodotto inizierà a sembrare un affare troppo conveniente?","A che prezzo il prodotto comincerà a sembrare troppo caro?","A che prezzo il prodotto sarebbe definitivamente troppo costoso?","A che prezzo il prodotto sembrerebbe di così scarsa qualità da non considerare più di acquistarlo? (2)","A che prezzo il prodotto inizierà a sembrare un affare troppo conveniente? (2)","A che prezzo il prodotto comincerà a sembrare troppo caro? (2)","A che prezzo il prodotto sarebbe definitivamente troppo costoso? (2)","Have you ever bought a pair of football boots? ","What is your gender ? ","What is your occupation?","Where are you from? ","How old are you ? ","Usually, what role do you play ?","How often do you play football on a monthly basis ?","Which type of playing field do you most frequently play on?
","How much did you pay for the last pair of football boots ?","Where would you prefer buying ?  ","Boot weight ","Softness of the material
","Foot Fit 
","Durability
","Brand Reputation","Ball control and responsiveness
","Ease of fit (i.e. laceless design)
","Wide range of color option ","How much do you agree with the following statement: ‘I prefer to spend more to get better quality'.","Have you ever heard of the brand ""Akuna - Cinquestelle 1911""?","Craftsmanship","Durability","Popularity","Performance (6)","Quality","Craftsmanship (2)","Durability (2)","Popularity (2)","Performance (7)","Quality (2)","Craftsmanship (3)","Durability (3)","Popularity (3)","Performance (8)","Quality (3)","Craftsmanship (4)","Durability (4)","Popularity (4)","Performance (9)","Quality (4)","Craftsmanship (5)","Durability (5)","Popularity (5)","Performance (10)","Quality (5)","At what price would the product seem so low in quality that you would no longer consider buying it?
","At what price would the product start to seem like a very good deal?
","At what price would you start to consider the product too expensive?
","At what price would the product be so expensive that you would no longer consider buying it?
","At what price would the product seem so low in quality that you would no longer consider buying it?
 (2)","At what price would the product start to seem like a very good deal?
 (2)","At what price would you start to consider the product too expensive?
 (2)","At what price would the product be so expensive that you would no longer consider buying it?
 (2)"
"rjXaBGX","PdANzXP","2026-02-05 14:27:37","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jaK66l4","yPlbJQp","2026-02-05 14:29:56","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes ","Male","Student","Abroad ","25","Defender","Between three and ten times ","Artificial turf ","Less than 80€","Physical on-site shop","2","2","5","4","5","5","5","2","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","35","50","80","100","35","50","80","100"
"44ZJJyr","WOA6zzN","2026-02-05 14:31:37","Italiano","Sì","Maschio","Dipendente","Puglia","30","Centrocampista","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","3","3","5","5","2","2","2","1","2","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","50","100","150","20","50","100","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZjxEEMz","zxKAYZq","2026-02-05 14:32:21","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes ","Male","Student","Abroad ","29","Midfielder","Less than three times ","Artificial turf ","Less than 80€","Physical on-site shop","2","4","5","5","4","4","2","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","15","25","75","100","15","25","80","120"
"GxM998j","yPlbYE0","2026-02-05 14:32:37","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RGOMoxP","yPlbYeW","2026-02-05 14:33:04","Italiano","Sì","Maschio","Studente","Puglia","24","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","2","3","5","4","3","5","1","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","70","170","200","50","70","170","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RGOMD2J","442Yx9b","2026-02-05 14:38:07","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes ","Male","Employee","Lombardia","30","Defender","Less than three times ","Artificial turf ","Between 80€ and 100€","Physical on-site shop","3","1","5","5","2","3","5","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","25","50","100","150","25","50","100","150"
"GxM9l2Q","aQB16rb","2026-02-05 14:42:44","Italiano","Sì","Maschio","Studente","Lombardia","24","Attaccante","Più di dieci","Sintetico","Meno di 80€","recarti in negozio","4","3","4","4","1","4","1","1","2","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","60","120","130","40","60","120","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"zxVyDa1","2E4Y4XL","2026-02-05 14:46:14","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EkpdXqL","Xxe7eo4","2026-02-05 14:46:31","Italiano","Sì","Maschio","Studente","Liguria","24","Difensore","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","4","4","3","5","2","5","2","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","90","110","30","30","100","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
