Submission ID,Respondent ID,black_Too.Cheap,black_Bargain,black_Pricey,black_Too.Expensive,white_Too.Cheap,white_Bargain,white_Pricey,white_Too.Expensive
jaK66l4,yPlbJQp,35.0,50.0,80.0,100.0,35.0,50.0,80.0,100.0
44ZJJyr,WOA6zzN,20.0,50.0,100.0,150.0,20.0,50.0,100.0,150.0
ZjxEEMz,zxKAYZq,15.0,25.0,75.0,100.0,15.0,25.0,80.0,120.0
RGOMoxP,yPlbYeW,50.0,70.0,170.0,200.0,50.0,70.0,170.0,200.0
RGOMD2J,442Yx9b,25.0,50.0,100.0,150.0,25.0,50.0,100.0,150.0
GxM9l2Q,aQB16rb,50.0,60.0,120.0,130.0,40.0,60.0,120.0,130.0
EkpdXqL,Xxe7eo4,40.0,40.0,90.0,110.0,30.0,30.0,100.0,120.0
J9yp2vz,BzGY1GN,40.0,80.0,170.0,200.0,40.0,90.0,170.0,200.0
1AjdDAp,PdANBN1,15.0,30.0,80.0,100.0,15.0,30.0,80.0,100.0
ZjxEvve,EkPGBzo,50.0,65.0,90.0,100.0,60.0,70.0,90.0,110.0
Bzvd0VY,PdANvDe,250.0,100.0,150.0,200.0,250.0,100.0,180.0,230.0
ZjxEePe,rjlQGqo,20.0,50.0,250.0,300.0,30.0,50.0,250.0,350.0
GxM9gWk,KYM4ajg,40.0,70.0,130.0,180.0,40.0,60.0,120.0,180.0
EkpdYbl,gD5VvqN,65.0,80.0,190.0,250.0,65.0,80.0,190.0,250.0
rjXa9jR,pbLN5OP,90.0,40.0,100.0,120.0,70.0,40.0,90.0,100.0
XxjJApd,Xxe797z,20.0,30.0,80.0,120.0,30.0,35.0,90.0,150.0
obJe8OV,KYM4gQA,90.0,30.0,120.0,150.0,60.0,50.0,180.0,220.0
0Q4BR8A,Y5Zbgq5,15.0,50.0,80.0,120.0,20.0,60.0,100.0,140.0
jaK6A0x,yPlbGbp,50.0,70.0,200.0,300.0,50.0,70.0,200.0,300.0
KYX5EEk,ZjdAKY0,67.0,69.0,167.0,367.0,67.0,69.0,167.0,367.0
jaK6KAJ,NpAx9gb,30.0,50.0,200.0,200.0,30.0,50.0,150.0,200.0
pbgooqq,1ArYe0p,30.0,40.0,150.0,250.0,30.0,50.0,150.0,250.0
WO4R5PR,obAZJlP,30.0,50.0,150.0,250.0,20.0,50.0,120.0,200.0
VLrP51j,yPlbOoB,250.0,50.0,150.0,200.0,250.0,50.0,150.0,200.0
EkplLZl,eqBGdJe,20.0,30.0,70.0,75.0,15.0,20.0,50.0,55.0
D4LpAQR,lbN2Bap,200.0,25.0,100.0,180.0,200.0,25.0,100.0,180.0
Xxjo8LO,LZdx9Pz,20.0,50.0,150.0,200.0,20.0,50.0,150.0,200.0
9qeZoVK,KYM2eBg,40.0,70.0,150.0,200.0,40.0,70.0,150.0,200.0
gDBqOjd,ODAq4x8,130.0,40.0,110.0,130.0,110.0,40.0,130.0,120.0
0Q48AGZ,44207KY,50.0,90.0,150.0,200.0,50.0,100.0,150.0,200.0
aQW4yNZ,9qd07B4,50.0,70.0,120.0,150.0,60.0,80.0,130.0,150.0
2E2AZa9,b5lRWW7,1.0,5.0,90.0,120.0,8.0,9.0,80.0,100.0
KYXxyak,jaB4PeE,20.0,70.0,200.0,250.0,25.0,70.0,200.0,250.0
obJR1Vx,81dDx5x,30.0,50.0,70.0,90.0,30.0,60.0,80.0,100.0
GxMp4Bk,0QE0O56,20.0,30.0,150.0,200.0,15.0,30.0,150.0,200.0
VLrPA4J,WOAbzXP,50.0,50.0,160.0,200.0,50.0,60.0,140.0,180.0
Pdo9eJx,D4VOzLE,100.0,20.0,100.0,100.0,10.0,20.0,100.0,100.0
Pdo9W0P,yPlA994,110.0,40.0,110.0,110.0,110.0,40.0,110.0,110.0
7RQKgrz,xXdbavd,20.0,40.0,80.0,100.0,20.0,45.0,85.0,100.0
J9ylZyz,lbN2d4N,35.0,70.0,130.0,200.0,35.0,70.0,130.0,200.0
xXGDLGk,QKA95EG,40.0,50.0,80.0,100.0,40.0,50.0,80.0,100.0
Me0alKk,VLZ75yg,40.0,60.0,140.0,160.0,40.0,60.0,120.0,140.0
pbgoXDq,GxrEdEo,20.0,25.0,90.0,85.0,20.0,25.0,90.0,85.0
RGOo1vv,WOAb5xL,20.0,45.0,80.0,110.0,20.0,40.0,90.0,120.0
44Z7RqY,5Bd0zXN,50.0,30.0,110.0,130.0,30.0,30.0,120.0,130.0
jaKoXqa,EkPVX5B,40.0,60.0,120.0,150.0,40.0,60.0,120.0,150.0
VLrPXWv,dWYG69K,30.0,40.0,90.0,100.0,30.0,43.0,100.0,150.0
Pdo9NG0,2E4de5e,40.0,70.0,120.0,150.0,30.0,70.0,110.0,150.0
44Z7YRr,RGze0e9,35.0,55.0,90.0,110.0,35.0,50.0,90.0,110.0
EkplV8X,xXdbdpd,120.0,80.0,150.0,170.0,100.0,70.0,120.0,140.0
819LDRx,5Bd0dkZ,40.0,80.0,200.0,300.0,40.0,80.0,150.0,200.0
xXGD89v,9qd0d8V,40.0,60.0,170.0,200.0,50.0,70.0,180.0,210.0
0Q48R66,KYM2oDg,20.0,45.0,90.0,130.0,20.0,55.0,90.0,140.0
b5aeJao,4420jN5,80.0,70.0,120.0,140.0,50.0,120.0,120.0,140.0
1Aj4L6p,LZdxXv2,30.0,50.0,110.0,120.0,30.0,50.0,110.0,120.0
Y52GLq5,GxrEBxZ,15.0,20.0,90.0,110.0,15.0,25.0,50.0,100.0
RGODG2P,NpAN4eW,40.0,60.0,140.0,200.0,50.0,70.0,100.0,250.0
